0,1
Deborah Silcox (Rep)State House Dist 53,GSL053RSIL
Debra Bazemore (I) (Dem)State House Dist 69,GSL069DBAZ
Della Ashley (Rep)State House Dist 75,GSL075RASH
Demetrius Douglas (I) (Dem)State House Dist 78,GSL078DDOU
Demetrius Rucker (Dem)State House Of Representatives - District 117,GSL117DRUC
Derek Mallow (Dem)State Senate - District 2,GSU02DMAL
Derrick McCollum (Rep)State House Of Representatives - District 30,GSL030RMCC
Devan Seabaugh (I) (Rep)State House Of Representatives - District 34,GSL034RSEA
Devin Pandy (Dem)State House Of Representatives - District 29,GSL029DPAN
Dewey L. McClain (I) (Dem)State House Of Representatives - District 109,GSL109DMCC
Dexter Dawston (Rep)State House Of Representatives - District 95,GSL095RDAW
Dexter L. Sharper (I) (Dem)State House Of Representatives - District 177,GSL177DSHA
Don L. Parsons (I) (Rep)State House Dist 44,GSL044RPAR
Donzella James (I) (Dem)State Senate Dist 35,GSU35DJAM
Doreen Carter (I) (Dem)State House Of Representatives - District 93,GSL093DCAR
Dorothy Coker (Dem)State House Of Representatives - District 34,GSL034DCOK
Doug Stoner (Dem)State House Of Representatives - District 40,GSL040DSTO
Drew Ferguson (I) (Rep)Us House Dist 3,GCON03RFER
Dustin McCormick (Dem)State House Of Representatives - District 45,GSL045DMCC
"Earl L. """"Buddy"""" Carter (I) (Rep)Us House Of Representatives - District 1",GCON01RCAR
Ed Harbison (I) (Dem)State Senate Dist 15,GSU15DHAR
Ed Setzler (Rep)State Senate - District 37,GSU37RSET
Eddie Lumsden (I) (Rep)State House Dist 12,GSL012RLUM
Edna Jackson (I) (Dem)State House Of Representatives - District 165,GSL165DJAC
El-Mahdi Holly (I) (Dem)State House Dist 116,GSL116DHOL
Elena Parent (I) (Dem)State Senate - District 42,GSU42DPAR
"Elizabeth """"Liz"""" Johnson (Dem)Us House Of Representatives - District 12",GCON12DJOH
Ellen Wright (Dem)State Senate - District 29,GSU29DWRI
Emanuel D. Jones (I) (Dem)State Senate - District 10,GSU10DJON
Emily Anderson (L)Commissioner Of Labor,G22LABLAND
"Emory Dunahoo, Jr. (I) (Rep)State House Of Representatives - District 31",GSL031RDUN
Ernie Anaya (Dem)State House Of Representatives - District 103,GSL103DANA
Esther Panitch (Dem)State House Dist 51,GSL051DPAN
Farooq Mughal (Dem)State House Of Representatives - District 105,GSL105DMUG
Frank Ginn (I) (Rep)State Senate - District 47,GSU47RGIN
Fred Glass (Rep)State Senate - District 6,GSU06RGLA
Freddie Powell Sims (I) (Dem)State Senate - District 12,GSU12DSIM
Fun Fong (Rep)State House Of Representatives - District 40,GSL040RFON
Gabe Okoye (Dem)State House Of Representatives - District 102,GSL102DOKO
Gail Davenport (I) (Dem)State Senate - District 44,GSU44DDAV
Gerald E. Greene (I) (Rep)State House Of Representatives - District 154,GSL154RGRE
Ginny Ehrhart (I) (Rep)State House Of Representatives - District 36,GSL036REHR
Gloria Frazier (I) (Dem)State House Of Representatives - District 126,GSL126DFRA
Gloria S. Butler (I) (Dem)State Senate - District 55,GSU55DBUT
Greg Dolezal (I) (Rep)State Senate Dist 27,GSU27RDOL
Gregg Kennard (I) (Dem)State House Of Representatives - District 101,GSL101DKEN
Hai Cao (Rep)State House Of Representatives - District 107,GSL107RCAO
Harold V. Jones II (I) (Dem)State Senate - District 22,GSU22DJON
"Henry """"Wayne"""" Howard (I) (Dem)State House Of Representatives - District 129",GSL129DHOW
"Henry C """"Hank"""" Johnson Jr (I) (Dem)Us House Of Representatives - District 4",GCON04DJOH
Herschel Junior Walker (Rep)Us Senate,G22USSRWAL
Hoganne Harrison Walton (Dem)State House - District 133,GSL133DWAL
Horacena Tate (I) (Dem)State Senate - District 38,GSU38DTAT
Houston Gaines (I) (Rep)State House Of Representatives - District 120,GSL120RGAI
Imani Barnes (Dem)State House Of Representatives - District 86,GSL086DBAR
Inga Willis (Dem)State House Dist 55,GSL055DWIL
J. Collins (I) (Rep)State House Dist 71,GSL071RCOL
"James """"Jay"""" Jones (Dem)State Senate - District 1",GSU01DJON
James Allen Rodi (Rep)State House Of Representatives - District 41,GSL041RROD
James Beverly (I) (Dem)State House Of Representatives - District 143,GSL143DBEV
James Burchett (I) (Rep)State House Of Representatives - District 176,GSL176RBUR
James F. Ryner (Dem)State House Of Representatives - District 36,GSL036DRYN
Jan Horne (Rep)State House Dist 65,GSL065RHOR
Jan Jones (I) (Rep)State House Dist 47,GSL047RJON
Janice Laws Robinson (Dem)Commissioner Of Insurance,G22INSDROB
Jasmine Clark (I) (Dem)State House Of Representatives - District 108,GSL108DCLA
Jason Anavitarte (I) (Rep)State Senate Dist 31,GSU31RANA
Jason Esteves (Dem)State Senate - District 6,GSU06DEST
Jason T. Ridley (I) (Rep)State House Dist 6,GSL006RRID
Jayre Jones (Rep)State Senate - District 41,GSU41RJON
Jeff Auerbach (Dem)State House Of Representatives - District 121,GSL121DAUE
Jenine Milum (Rep)State House Of Representatives - District 82,GSL082RMIL
"Jennifer """"Jen"""" Jordan (Dem)Attorney General",G22ATGDJOR
Jesse Petrea (I) (Rep)State House Of Representatives - District 166,GSL166RPET
Jodi Diodati (Rep)State House Of Representatives - District 90,GSL090RDIO
Jodi Lott (I) (Rep)State House Of Representatives - District 131,GSL131RLOT
Jody Cooley (Dem)State Senate - District 49,GSU49DCOO
Joe Campbell (I) (Rep)State House Of Representatives - District 171,GSL171RCAM
John Albers (I) (Rep)State Senate - District 56,GSU56RALB
John Bailey (Rep)State House Dist 54,GSL054RBAI
John Carson (I) (Rep)State House Dist 46,GSL046RCAR
John Chan (Rep)State House Of Representatives - District 97,GSL097RCHA
John F. Kennedy (I) (Rep)State Senate - District 18,GSU18RKEN
John Hayes (Dem)State House Of Representatives - District 154,GSL154DHAY
John King (I) (Rep)Commissioner Of Insurance,G22INSRKIN
John L. Corbett (I) (Rep)State House Of Representatives - District 174,GSL174RCOR
John Lahood (I) (Rep)State House Of Representatives - District 175,GSL175RLAH
Johnny Crist (Rep)State House Of Representatives - District 108,GSL108RCRI
Jon G. Burns (I) (Rep)State House - District 159,GSL159RBUR
Jonathan Chavez (Rep)Us House Of Representatives - District 4,GCON04RCHA
Jordan Ridley (Rep)State House Dist 22,GSL022RRID
Joseph Gullett (I) (Rep)State House Dist 19,GSL019RGUL
Josh Bonner (I) (Rep)State House Dist 73,GSL073RBON
Josh McKay (Rep)State Senate - District 7,GSU07RMCK
Josh McLaurin (Dem)State Senate Dist 14,GSU14DMCL
Josh Uddin (Dem)State Senate - District 48,GSU48DUDD
Joyce Barlow (Dem)State House Dist 151,GSL151DBAR
June Krise (Dem)State House Dist 8,GSL008DKRI
Justin Rickett (Rep)State House Dist 137,GSL137RRIC
Kacy D. Morgan (Dem)State Senate - District 17,GSU17DMOR
Karen Bennett (I) (Dem)State House Of Representatives - District 94,GSL094DBEN
Karen Lupton (Dem)State House Of Representatives - District 83,GSL083DLUP
Karen Mathiak (I) (Rep)State House Dist 74,GSL074RMAT
Karla Drenner (I) (Dem)State House Of Representatives - District 85,GSL085DDRE
Kasey Carpenter (I) (Rep)State House Dist 4,GSL004RCAR
Kat Howkins (Dem)State House Of Representatives - District 124,GSL124DHOW
Katie Dempsey (I) (Rep)State House Dist 13,GSL013RDEM
Kay Kirkpatrick (I) (Rep)State Senate - District 32,GSU32RKIR
Kayla L. Hollifield (Dem)State House Dist 11,GSL011DHOL
Keith L. Jenkins Sr (Dem)State House Of Representatives - District 173,GSL173DSR
Kelly Coffman (Dem)State House Dist 53,GSL053DCOF
Kenneth Vance (Rep)State House - District 133,GSL133RVAN
Kim Floria (Dem)State House Of Representatives - District 30,GSL030DFLO
Kim Jackson (I) (Dem)State Senate - District 41,GSU41DJAC
Kim Schofield (I) (Dem)State House Dist 63,GSL063DSCH
Kimberly Alexander (I) (Dem)State House Dist 66,GSL066DALE
Kimberly R. New (Rep)State House Dist 64,GSL064RNEW
Larry Walker (I) (Rep)State Senate - District 20,GSU20RWAL
Lauren Daniel (Rep)State House Of Representatives - District 117,GSL117RDAN
Lauren W. McDonald III (I) (Rep)State House Dist 26,GSL026RMCD
Lee Anderson (I) (Rep)State Senate - District 24,GSU24RAND
Lee Hawkins (I) (Rep)State House Dist 27,GSL027RHAW
Leesa Hagan (I) (Rep)State House - District 156,GSL156RHAG
Lehman Franklin (Rep)State House - District 160,GSL160RFRA
Lethia J. Kittrell (Dem)State House - District 156,GSL156DKIT
Lisa Campbell (Dem)State House Of Representatives - District 35,GSL035DCAM
Lisa Y. Kinnemore (Rep)State House Of Representatives - District 86,GSL086RKIN
Liz Hausmann (Rep)State Senate Dist 14,GSU14RHAU
Long Tran (Dem)State House Of Representatives - District 80,GSL080DTRA
Louisa Shell Jackson (Dem)State House Dist 100,GSL100DJAC
Lucy McBath (I) (Dem)Us House Dist 7,GCON07DMCB
Lydia Glaize (Dem)State House Dist 67,GSL067DGLA
Lynn Gladney (Dem)State House Of Representatives - District 130,GSL130DGLA
Lynn Smith (I) (Rep)State House Dist 70,GSL070RSMI
Mack Jackson (I) (Dem)State House - District 128,GSL128DJAC
Madeline Ryan Smith (Dem)State House - District 158,GSL158DSMI
Malcolm Adams (Dem)State House Of Representatives - District 114,GSL114DADA
Mandi L Ballinger (I) (Rep)State House Dist 23,GSL023RBAL
Mandisha A. Thomas (I) (Dem)State House Dist 65,GSL065DTHO
Marcus A Wiedower (I) (Rep)State House Of Representatives - District 121,GSL121RWIE
Marcus Flowers (Dem)Us House Dist 14,GCON14DFLO
