"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"US Senate (Vote For 1)","Herschel Junior Walker (Rep)","",1721244,48.60,752113,3544579,159,159,"0","10"
2,"US Senate (Vote For 1)","Raphael Warnock (I) (Dem)","",1820633,51.40,752113,3544579,159,159,"0","10"
